Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
PLI,32.96,348.10,367.00,341.00,359.00,354.17,"6,185.00",355.00,"2,190,524.50",101,4.00,26.00,1.13,7.62,1.35,540.43,556.77,830.00,341.00
PMHPL,34.32,198.00,215.00,196.10,203.00,203.88,"2,753.00",199.00,"561,286.70",40,4.00,18.90,2.01,9.64,-0.43,306.46,314.32,484.00,196.10
PPCL,35.30,252.00,272.30,246.20,261.70,259.11,"37,541.00",247.60,"9,727,082.60",146,14.10,26.10,5.69,10.60,0.99,414.58,428.38,642.00,245.50
PRIN,33.22,450.00,454.00,439.90,448.00,445.89,"1,941.00",441.60,"865,479.40",27,6.40,14.10,1.45,3.21,0.47,716.23,740.01,"1,148.00",433.00
PROFL,32.53,213.00,222.00,212.00,218.00,216.93,"5,298.00",209.80,"1,149,270.60",61,8.20,10.00,3.91,4.72,0.49,330.60,353.28,574.00,206.00
PRVU,35.76,215.80,219.00,212.50,217.00,215.95,"43,025.00",214.00,"9,291,284.40",265,3.00,6.50,1.40,3.06,0.48,288.71,317.14,525.00,212.20
PSF,29.40,7.82,8.19,7.82,8.19,8.08,"3,585.00",7.96,"28,981.75",8,0.23,0.37,2.89,4.73,1.29,8.94,9.10,11.22,7.82
RADHI,35.04,489.50,514.00,489.50,510.00,506.07,"16,332.00",495.00,"8,265,167.30",160,15.00,24.50,3.03,5.01,0.77,609.77,615.03,"1,281.00",489.50
RBCL,36.87,"13,299.00","13,770.00","13,200.00","13,399.90","13,458.60",370.00,"13,225.00","4,979,683.00",35,174.90,570.00,1.32,4.32,-0.44,"16,735.25","17,017.30","22,700.00","12,900.00"
RBCLPO,36.73,"10,769.00","11,616.00","10,561.00","11,383.70","10,965.23",322.00,"10,560.00","3,530,803.40",26,823.70,"1,055.00",7.80,9.99,3.68,"14,923.70","14,478.29","18,935.00","10,560.00"
RFPL,20.41,224.00,246.50,211.30,244.00,232.22,"20,128.00",224.10,"4,674,223.20",718,19.90,35.20,8.88,16.66,4.83,-,-,301.90,211.30
RHPL,36.43,252.90,272.00,247.10,262.00,260.44,"21,755.00",258.00,"5,665,920.90",154,4.00,24.90,1.55,10.08,0.59,355.87,360.21,566.00,247.10
RLFL,35.68,243.00,263.00,243.00,256.00,254.69,"21,555.00",243.50,"5,489,743.10",148,12.50,20.00,5.13,8.23,0.51,410.60,455.08,814.00,239.10
RLI,34.25,334.00,346.80,328.20,345.00,338.04,"9,090.00",334.50,"3,072,805.00",104,10.50,18.60,3.14,5.67,2.02,501.04,506.51,734.00,328.20
RMDC,36.67,721.00,760.00,721.00,750.00,745.94,"5,845.00",734.80,"4,360,042.30",74,15.20,39.00,2.07,5.41,0.54,"1,044.90","1,186.77","1,800.00",716.20
RMF1,36.73,7.84,8.13,7.84,8.00,7.91,"2,162.00",7.99,"17,105.06",9,0.01,0.29,0.13,3.70,1.10,8.79,9.02,10.30,7.69
RSDC,33.16,482.00,500.00,475.00,499.90,488.91,"1,673.00",473.00,"817,945.10",44,26.90,25.00,5.69,5.26,2.20,675.09,719.98,"1,194.40",473.00
RULB,37.31,812.50,843.00,812.50,827.00,831.46,"1,670.00",818.00,"1,388,540.50",87,9.00,30.50,1.10,3.75,-0.54,-,-,"1,931.70",502.00
RURU,34.82,734.00,735.00,700.10,725.00,725.29,447.00,724.00,"324,203.00",19,1.00,34.90,0.14,4.99,-0.04,948.12,979.68,"1,849.20",700.10
SABSL,33.65,970.00,"1,000.00",970.00,999.00,992.54,313.00,976.10,"310,665.80",18,22.90,30.00,2.35,3.09,0.65,"1,290.94","1,468.35","2,306.20",965.00
SADBL,36.31,278.00,287.00,273.00,285.80,282.28,"19,675.00",273.90,"5,553,898.80",139,11.90,14.00,4.34,5.13,1.23,370.31,378.22,595.00,269.80
SAEF,32.79,12.00,12.20,11.80,12.20,11.91,"42,100.00",12.00,"501,592.40",15,0.20,0.40,1.67,3.39,2.34,13.19,13.09,20.19,11.68
SAHAS,33.67,410.00,436.00,410.00,434.90,427.27,"9,096.00",417.00,"3,886,452.50",219,17.90,26.00,4.29,6.34,1.75,582.98,-,789.40,405.30
SANIMA,33.22,268.00,273.00,268.00,271.50,270.39,"28,375.00",268.00,"7,672,304.10",203,3.50,5.00,1.31,1.87,0.41,329.92,359.99,564.90,265.00
SAPDBL,34.62,190.00,204.90,190.00,204.90,199.73,"10,438.00",186.30,"2,084,806.00",110,18.60,14.90,9.98,7.84,2.52,308.47,330.62,540.00,185.50
SBCF,29.66,7.65,7.65,7.60,7.65,7.64,"11,700.00",7.50,"89,355.00",15,0.15,0.05,2.00,0.66,0.17,8.62,8.89,11.29,7.50
SBI,34.15,272.20,284.50,272.10,277.00,276.31,"4,569.00",274.60,"1,262,461.60",60,2.40,12.40,0.87,4.56,0.25,347.55,350.04,453.90,272.10
SBIBD86,32.64,935.00,935.00,935.00,935.00,935.00,30.00,934.70,"28,050.00",1,0.30,0.00,0.03,0.00,0.00,"1,029.63",-,"1,065.00",929.70
SBL,37.42,309.00,323.30,305.00,323.30,310.93,"39,395.00",306.00,"12,249,030.40",211,17.30,18.30,5.65,6.00,3.83,406.28,429.62,605.00,304.00
SCB,38.33,385.00,400.00,385.00,390.00,391.56,"7,918.00",385.50,"3,100,397.00",68,4.50,15.00,1.17,3.90,-0.40,457.58,475.29,629.30,382.20
SDLBSL,30.50,971.00,988.70,971.00,988.00,984.79,956.00,970.20,"941,460.20",24,17.80,17.70,1.83,1.82,0.32,"1,220.13","1,294.78","1,997.00",965.00
SEF,32.20,9.61,9.72,9.60,9.72,9.61,"2,700.00",9.75,"25,937.00",4,-0.03,0.12,-0.31,1.25,1.17,10.73,10.65,17.04,9.41
SFCL,34.93,201.00,211.00,200.00,206.50,206.95,"14,343.00",199.00,"2,968,304.20",109,7.50,11.00,3.77,5.50,-0.22,329.15,388.01,720.00,198.20
SFMF,21.96,10.30,10.30,9.95,10.30,10.23,"107,300.00",10.10,"1,098,200.00",9,0.20,0.35,1.98,3.52,0.63,11.56,11.38,20.00,9.95
SGI,35.15,350.00,369.40,348.00,365.00,364.60,786.00,355.10,"286,579.40",36,9.90,21.40,2.79,6.15,0.11,554.31,566.16,811.00,348.00
SHEL,27.87,231.00,244.90,230.90,235.00,233.74,"5,330.00",231.00,"1,245,815.50",72,4.00,14.00,1.73,6.06,0.54,395.88,405.13,650.00,227.00
SHINE,32.40,278.00,290.00,269.10,288.00,281.62,"28,742.00",274.00,"8,094,368.40",191,14.00,20.90,5.11,7.77,2.21,380.10,408.34,655.00,269.10
SHIVM,34.16,680.00,700.00,670.00,689.00,689.87,"42,106.00",668.00,"29,047,598.90",400,21.00,30.00,3.14,4.48,-0.13,"1,143.63","1,201.19","1,910.00",660.00
SHL,33.48,196.00,204.00,191.10,196.50,196.97,"11,300.00",193.10,"2,225,765.00",53,3.40,12.90,1.76,6.75,-0.24,217.73,221.68,312.00,187.00
SHPC,36.09,294.90,303.00,291.00,300.00,297.74,"66,662.00",291.00,"19,847,797.40",203,9.00,12.00,3.09,4.12,0.75,393.67,404.24,675.00,291.00
SIC,36.17,730.00,750.00,730.00,750.00,740.32,768.00,736.00,"568,563.50",22,14.00,20.00,1.90,2.74,1.29,"1,196.58","1,210.90","1,676.00",720.00
SICL,36.15,735.00,770.00,730.00,746.00,742.35,"13,640.00",735.00,"10,125,624.90",182,11.00,40.00,1.50,5.48,0.49,"1,355.09","1,469.08","2,157.00",730.00
SIFC,35.11,269.00,278.60,263.50,277.00,273.54,"8,986.00",266.50,"2,458,002.60",60,10.50,15.10,3.94,5.73,1.25,400.81,432.65,741.00,254.40
SIGS2,36.46,9.58,9.76,9.40,9.73,9.59,"1,700.00",9.40,"16,297.00",7,0.33,0.36,3.51,3.83,1.48,10.85,10.79,16.87,9.25
SIL,38.15,520.00,535.00,510.00,535.00,527.28,"4,120.00",525.00,"2,172,400.70",65,10.00,25.00,1.90,4.90,1.44,843.97,855.70,"1,213.70",508.00
SINDU,39.79,242.00,258.00,242.00,247.00,250.69,"7,189.00",238.00,"1,802,238.00",46,9.00,16.00,3.78,6.61,-1.50,354.94,378.50,618.00,235.00
SJCL,34.50,241.00,255.80,240.20,245.40,249.09,"8,260.00",245.10,"2,057,505.00",69,0.30,15.60,0.12,6.49,-1.50,351.70,357.15,540.60,239.00
SKBBL,38.43,"1,020.00","1,044.00","1,005.00","1,029.90","1,022.56","5,763.00","1,010.80","5,893,038.00",65,19.10,39.00,1.89,3.88,0.71,"1,214.29","1,365.48","2,184.00",992.00
SLBBL,36.77,750.50,790.00,745.00,782.00,757.93,"1,333.00",736.00,"1,010,324.90",25,46.00,45.00,6.25,6.04,3.08,"1,000.38","1,099.79","1,685.00",731.10
SLBSL,49.89,"1,498.10","1,665.00","1,469.10","1,665.00","1,568.07","4,929.00","1,527.80","7,729,037.00",91,137.20,195.90,8.98,13.33,5.82,"1,316.95","1,314.22","1,785.00",951.60
SLCF,35.64,7.72,8.01,7.72,7.90,7.93,"1,000.00",7.86,"7,929.00",5,0.04,0.29,0.51,3.76,-0.37,8.91,9.15,11.40,7.69
SLI,32.98,350.00,367.00,343.00,367.00,360.14,"5,657.00",350.00,"2,037,334.60",191,17.00,24.00,4.86,7.00,1.87,508.73,516.13,787.80,309.00
SLICL,33.03,375.00,387.00,373.00,384.00,380.92,"27,584.00",368.20,"10,507,312.80",144,15.80,14.00,4.29,3.75,0.80,653.14,694.81,"1,039.00",367.50
SMATA,30.90,740.00,754.00,731.00,750.00,746.38,591.00,740.00,"441,107.80",14,10.00,23.00,1.35,3.15,0.48,"1,032.54","1,157.52","1,785.00",731.00
SMATAP,0.00,466.00,466.00,466.00,466.00,466.00,"46,013.00",0.00,"21,442,058.00",20,466.00,0.00,0.00,0.00,0.00,-,-,466.00,466.00
SMB,37.15,"1,245.00","1,269.90","1,245.00","1,269.90","1,267.04",135.00,"1,245.00","171,050.00",6,24.90,24.90,2.00,2.00,0.23,"1,727.85","1,958.96","2,900.00","1,229.00"
SMFBS,44.79,"1,475.00","1,495.00","1,445.50","1,495.00","1,458.31",313.00,"1,499.00","456,450.30",15,-4.00,49.50,-0.27,3.42,2.45,"1,766.38","2,016.74","2,865.00","1,445.50"
SMFDB,35.25,805.00,821.00,795.00,812.00,818.46,"1,220.00",811.00,"998,521.00",13,1.00,26.00,0.12,3.27,-0.80,"1,110.56","1,212.07","1,799.40",795.00
SPC,27.77,392.00,413.00,392.00,413.00,398.81,"1,030.00",400.00,"410,775.00",39,13.00,21.00,3.25,5.36,3.44,559.18,-,845.50,296.30
SPDL,31.05,303.70,320.00,300.00,312.70,312.48,"23,843.00",297.80,"7,450,404.20",155,14.90,20.00,5.00,6.67,0.07,418.53,430.57,823.90,295.00
SRBL,39.88,204.00,207.50,203.00,207.50,204.65,"11,746.00",201.00,"2,403,837.50",93,6.50,4.50,3.23,2.22,1.37,255.27,270.87,418.20,200.00
SRD80,34.07,952.00,952.00,950.30,950.30,951.59,740.00,951.00,"704,174.00",4,-0.70,1.70,-0.07,0.18,-0.14,-,-,"1,080.00",934.50
SSHL,34.53,218.60,241.60,214.30,241.60,226.28,"18,865.00",223.00,"4,268,763.10",116,18.60,27.30,8.34,12.74,6.34,321.27,332.89,533.00,214.30
STC,34.95,"3,000.00","3,044.50","2,945.00","3,031.00","3,005.74","1,081.00","2,950.00","3,249,210.00",59,81.00,99.50,2.75,3.38,0.83,"5,057.87","5,633.61","11,199.00","2,930.00"
SWBBL,36.43,948.00,"1,000.00",937.20,"1,000.00",951.52,"7,659.00",946.10,"7,287,729.50",103,53.90,62.80,5.70,6.70,4.85,"1,192.84","1,307.15","2,090.00",930.00
SWMF,33.38,691.50,711.00,686.10,700.00,699.24,"3,718.00",678.00,"2,599,759.20",68,22.00,24.90,3.24,3.63,0.11,-,-,"1,346.00",675.00
TPC,31.46,413.70,451.80,397.40,410.00,411.80,"6,389.00",422.10,"2,630,960.00",142,-12.10,54.40,-2.87,13.69,-0.44,538.39,-,825.00,254.20
TRH,29.82,319.80,326.10,307.40,319.40,315.92,"4,270.00",313.60,"1,348,998.00",21,5.80,18.70,1.85,6.08,1.09,359.60,362.77,468.00,304.10
UIC,35.53,347.80,370.00,335.20,360.00,347.29,"4,961.00",341.00,"1,722,893.40",32,19.00,34.80,5.57,10.38,3.53,596.42,614.14,860.00,334.00
ULBSL,30.25,"2,400.00","2,510.00","2,400.00","2,499.00","2,469.88","2,325.00","2,415.00","5,742,481.50",128,84.00,110.00,3.48,4.58,1.17,-,-,"3,112.50","1,211.00"
UMHL,33.24,207.00,222.00,207.00,218.00,215.73,"35,256.00",208.00,"7,605,637.80",177,10.00,15.00,4.81,7.25,1.04,342.45,378.42,646.60,207.00
UMRH,34.51,637.00,657.90,625.00,657.90,644.96,"1,475.00",637.10,"951,317.70",25,20.80,32.90,3.26,5.26,1.97,765.10,694.02,"1,150.00",434.00
UNHPL,32.90,187.00,198.00,187.00,197.00,193.05,"19,677.00",185.00,"3,798,677.20",133,12.00,11.00,6.49,5.88,2.00,314.37,331.25,612.00,183.60
UNL,33.98,"18,106.00","18,106.00","18,106.00","18,106.00","18,106.00",10.00,"17,751.00","181,060.00",1,355.00,0.00,2.00,0.00,0.00,"18,849.67","19,068.82","21,200.00","17,386.00"
UPCL,32.85,195.00,207.90,192.10,200.00,200.93,"50,207.00",192.20,"10,088,309.60",305,7.80,15.80,4.06,8.22,-0.47,315.23,340.91,635.00,192.10
UPPER,31.79,402.80,429.90,402.80,427.00,420.33,"44,120.00",411.00,"18,545,029.50",366,16.00,27.10,3.89,6.73,1.56,592.08,603.02,962.50,402.80
USLB,31.54,922.00,958.00,922.00,945.50,932.70,667.00,928.00,"622,113.20",17,17.50,36.00,1.89,3.90,1.35,"1,405.69","1,608.45","2,547.00",922.00
VLBS,34.38,894.50,910.00,892.00,902.90,900.03,756.00,877.00,"680,419.60",18,25.90,18.00,2.95,2.02,0.32,"1,193.04","1,313.89","2,036.00",867.30
WNLB,37.21,937.00,937.00,900.00,924.00,907.87,510.00,919.00,"463,016.00",18,5.00,37.00,0.54,4.11,1.75,-,-,"2,090.00",831.00
